Feature,Coefficient
Intercept,-0.04603878180127714
Air2,0.0022305301852405903
T2,-2.715983295450025e-05
Air2^2,-1.5417529657332825e-06
Air2 T2,-3.5535816158498584e-05
T2^2,1.4952356307372384e-05
Air2^3,-1.474554526604268e-09
Air2^2 T2,3.831953950119168e-08
Air2 T2^2,1.3086674630937604e-07
T2^3,-8.322769062573956e-08
Air2^4,-4.569166759792728e-12
Air2^3 T2,1.96098268903257e-11
Air2^2 T2^2,-1.3759432311030028e-10
Air2 T2^3,-1.002228509023898e-10
T2^4,1.1506563435736436e-10
