,i,j,steps,acidgas_Fm,acidgas_Fv,acidgas_CO2,acidgas_H2O,acidgas_H2S,acidgas_T,acidgas_P,air,air_SP,second_air2,air2_SP,COG,COG_SP,burner_input_T_SP,burner_input_T_PV,burner_inputP,burner_output_T_SP,burner_output_T_PV,burner_output_P_SP,burner_output_P_PV,fur_F,fur_inputT,fur_inputP,fur_temp,fur_outputT,fur_outputP_SP,fur_outputP_PV,WHB_F,WHB_inputT,WHB_inputP,WHB_outputT,WHB_outputP,SEP1_F,SEP1_P_SP,SEP1_P_PV,SEP1_T,HEATER1_F,HEATER1_input_T,HEATER1_input_P,HEATER1_output_T_SP,HEATER1_output_T_PV,HEATER1_output_P,cat1_F,cat1_input_temp,cat1_output_temp,cat1_input_P,cat1_output_P_SP,cat1_output_P_PV,cat1_deltaP,SEP2_F,SEP2_P_SP,SEP2_P_PV,SEP2_T,HEATER2_F,HEATER2_input_T,HEATER2_input_P,HEATER2_output_T_SP,HEATER2_output_T_PV,HEATER2_output_P,cat2_F,cat2_input_temp,cat2_output_temp,cat2_input_P,cat2_output_P_SP,cat2_output_P_PV,cat2_deltaP,SEP3_F,SEP3_P_SP,SEP3_P_PV,SEP3_T,B35_H2S,B35_SO2,ratio,ratioSP,conv
0,0.0,0.0,0.0,146.76036328623292,2546.734608441918,40.571187261796815,47.74701070228537,58.442165322150714,83.13341367213559,1.6817008727973306,126.44549794481223,3597.3882215998815,299.8205267119354,300.0,40.28528531760819,38.00780716804613,599.9999587739113,600.0759278395723,1.6225687225969898,1219.506405728874,1219.3889641544854,1.622195,1.622634999602273,292.8196417184972,151.4730047365377,1.5735345474710791,936.4491587854063,936.9599981362265,1.571315,1.5727813928921828,289.6496844679218,936.9632831671272,1.523824999937203,255.72066211509033,1.5237067675948424,289.6496844679218,1.520795,1.5232824756139611,133.95015364588465,268.8633582590987,133.9501536860482,1.4244589867602953,335.9965396015133,335.9554024501489,1.423697011216439,268.8633582590987,335.9554024501489,365.40800844750896,1.4235040440030955,1.411445,1.41263485168287,10.86919232022554,267.20391162337586,1.361375,1.3626220471447783,63.965039653389454,197.9137334367037,63.96503954150512,1.2646033963450698,190.0,189.0828012854154,1.423697011216439,197.9137334367037,189.08280128541534,238.00578304842762,1.2642681953193948,1.251615,1.2525832146427887,11.684980676606171,196.02296585926206,1.200915,1.201946361984172,132.24630425851257,0.014026915952618627,0.008316475713214842,1.6866418464169772,2.012651920994923,0.9258076642027891
1,0.0,1.0,1.0,147.06193607824176,2551.9678052613854,40.654555590572286,47.8451243823359,58.56225610533357,83.13341367213559,1.6817008727973306,127.37816273778472,3604.7358836998774,300.04255965269186,300.0,40.33319837684459,38.02722726291135,599.9999587739113,599.8926187206309,1.6222779269705572,1219.506405728874,1219.3297863047121,1.622195,1.622344316020022,294.0693140378931,151.24024773605174,1.5730893561189492,938.1528739045082,938.571639996885,1.571315,1.5723285478601863,290.9397292883864,938.5685336881307,1.5235241210625385,260.7412286541091,1.5234046659237832,290.9397292883864,1.520795,1.522978064900951,133.97685745263465,271.14998086680777,133.97685717531843,1.4245682577984158,334.3626303213013,334.3387902909432,1.4237934276768036,271.14998086680777,334.3387902909432,364.35393493128737,1.4235977367704304,1.411445,1.4125660781202383,11.031658650192178,269.48222188790294,1.361375,1.362942505164637,63.970017452807696,200.0981399382194,63.970017218584196,1.2650275972738532,190.0,188.86596425688722,1.4237934276768036,200.0981399382194,188.8659642568872,237.4615849815475,1.2646851350931847,1.251615,1.2527506448559758,11.934490237208939,198.25543304535435,1.200915,1.202417561068228,132.24683571575105,0.01407760261792487,0.008326399976340224,1.690718997156863,2.012651920994923,0.9247681002589557
2,0.0,2.0,2.0,147.32035837032288,2556.452210860412,40.72599517391672,47.9291994804715,58.66516371593466,83.13341367213559,1.6817008727973306,128.0335967181396,3611.09486936755,300.1217786176765,300.0,40.35640013362337,38.02751080838702,599.9999587739113,599.8712217019436,1.6221006262728008,1219.506405728874,1219.4061573321285,1.622195,1.6221670631591578,294.9887706090838,151.05268972822032,1.5727072707479444,939.1956812968183,939.9800431842018,1.571315,1.5719409719431323,291.7709766300789,939.9780260188712,1.5230751090408614,264.40153175368147,1.5229547997135204,291.7709766300789,1.520795,1.522526568269477,134.00898654370866,272.61169143685976,134.0089853785827,1.4243900737812958,333.3568200063716,333.3420353939493,1.4236069740412756,272.61169143685976,333.3420353939493,363.74213771697487,1.4234095333027255,1.411445,1.4122735557261794,11.135977576546052,270.9295473143334,1.361375,1.3628149759665555,63.97605335489521,201.3125269128084,63.97605309887256,1.264958090248031,190.0,188.96596955522085,1.4236069740412756,201.3125269128084,188.96596955522082,237.43277808768497,1.2646113664641916,1.251615,1.2525275421286637,12.083824335527904,199.48679850006778,1.200915,1.2023546593289756,132.24739652585575,0.014138509775589343,0.00834106730647816,1.6950480383497868,2.012651920994923,0.9241070739644405
3,0.0,3.0,3.0,147.50565069838507,2559.6675911851007,40.777218335073144,47.989482479047766,58.73894988426416,83.13341367213559,1.6817008727973306,128.46967012989236,3615.666870862666,300.1222322015249,300.0,40.362877358900604,38.018805653901644,599.9999587739113,599.9129670047736,1.6220163974431612,1219.506405728874,1219.502263088847,1.622195,1.6220828427953893,295.6102715692771,150.91450765118503,1.5724329277567426,939.8372531267032,940.8527115051319,1.571315,1.5716629365656323,292.3329123199663,940.8514861941794,1.522657021872314,266.7809429679735,1.5225361310471035,292.3329123199663,1.520795,1.522106802461039,134.04345562960333,273.5702981902584,134.04345351411283,1.4241743139843839,332.72285149440665,332.71347440846586,1.4233858148448684,273.5702981902584,332.71347440846586,363.37669343569434,1.4231872347642254,1.411445,1.4119833123742538,11.203922389971588,271.875421455956,1.361375,1.362552225814727,63.98300072722631,201.98160576437164,63.98300050411069,1.2647535793412996,190.0,189.1655191102411,1.4233858148448684,201.98160576437164,189.165519110241,237.59831777476154,1.264404384277713,1.251615,1.252232170429946,12.172213847767122,200.15762806211634,1.200915,1.2021002234832328,132.24810382090044,0.014198562755222782,0.008356278694841032,1.6991490200043995,2.012651920994923,0.9236699449747384
4,0.0,4.0,4.0,147.6266562187872,2561.7674016497253,40.81066972152392,48.02885041019964,58.78713608706362,83.13341367213559,1.6817008727973306,128.74962592179114,3618.6577985958065,300.09065560401996,300.0,40.36048599039041,38.00793801228258,599.9999587739113,599.9640372154968,1.621991802884332,1219.506405728874,1219.5704238426135,1.622195,1.6220582379887214,296.00910266355385,150.81777164175477,1.57225358746149,940.2346899642193,941.3923638242583,1.571315,1.5714812292084301,292.6935763520488,941.391618830522,1.5223194373120565,268.28197888718773,1.5221981686116588,292.6935763520488,1.520795,1.5217681328670754,134.0791084396916,274.2123028804458,134.0791053478661,1.424001044637997,332.31754271764663,332.31152975549395,1.4232089799348318,274.2123028804458,332.31152975549395,363.1557380121833,1.4230096511204526,1.411445,1.411761058249779,11.24859287067359,272.5073992549837,1.361375,1.3622845922183124,63.990628055595266,202.3459661647344,63.990627848371446,1.2645565826714826,190.0,189.37075610069095,1.4232089799348318,202.3459661647344,189.37075610069087,237.80943295856676,1.2642059760157365,1.251615,1.2519821241524987,12.223851863237822,200.5182314679064,1.200915,1.2018182658544663,132.24899975351286,0.014253660408891132,0.008370123190802103,1.7029212215842207,2.012651920994923,0.923359919581946
5,0.0,5.0,5.0,147.69997723148555,2563.0397421944326,40.83093895818838,48.05270466552867,58.816333607768506,83.13341367213559,1.6817008727973306,128.92410045038002,3620.4729705791615,300.05326621949774,300.0,40.354553377002276,37.99840065299776,599.9999587739113,600.0027364864803,1.6219996109738732,1219.506405728874,1219.6019501535066,1.622195,1.622066029946519,296.25431589076527,150.7528250514753,1.5721448462038727,940.4833434193191,941.7287472667629,1.571315,1.5713710296505383,292.9147274478563,941.7282853498143,1.5220639089726813,269.2068432367489,1.521942403697431,292.9147274478563,1.520795,1.5215119278111742,134.11512177913582,274.65345892166846,134.11511786356897,1.4238834269395213,332.0543137746697,332.0503843334569,1.4230889664418707,274.65345892166846,332.0503843334569,363.0196009969368,1.4228891382473936,1.411445,1.411610762586395,11.278375660998652,272.9409397287736,1.361375,1.3620560348205213,63.9987782845796,202.53777363641908,63.99877807132819,1.2644074604088564,190.0,189.54731665281741,1.4230889664418707,202.53777363641908,189.54731665281759,238.00639050874528,1.2640560751447283,1.251615,1.2518029547259997,12.253120418728614,200.70509414977542,1.200915,1.201570449432975,132.25007422759467,0.014303027863866575,0.008381901097073671,1.706418114246196,2.012651920994923,0.9231255989067984
6,0.0,6.0,6.0,147.74089541125306,2563.7497959323423,40.842250589589305,48.06601698449225,58.83262783717151,83.13341367213559,1.6817008727973306,129.02971528262307,3621.487916214498,300.0218777513059,300.0,40.34811193872286,37.9915026561612,599.9999587739113,600.0246365606669,1.622021648810284,1219.506405728874,1219.604436581258,1.622195,1.6220880523695478,296.39864661393284,150.7110458285144,1.5720841328653654,940.6409940760446,941.9407498063106,1.571315,1.5713094529777198,293.044087253578,941.9404564723602,1.5218773572711806,269.7638926713377,1.5217557089851257,293.044087253578,1.520795,1.5213249681438958,134.15095576680272,274.9690090743271,134.1509512412994,1.4238130800234932,331.87806456985106,331.87540468007796,1.423016953803422,274.9690090743271,331.87540468007796,362.93108102830485,1.42281678189224,1.411445,1.411517957772719,11.298824119520878,273.2507676816903,1.361375,1.3618752235460692,64.00734549211425,202.63179876639182,64.00734524665243,1.264307788648901,190.0,189.6867920311136,1.423016953803422,202.63179876639182,189.68679203111446,238.16972186228023,1.2639560021131122,1.251615,1.2516872127624314,12.268789350680764,200.79459461253174,1.200915,1.2013730571426542,132.25130032257474,0.014347248411808204,0.008391465608644497,1.7097428602970544,2.012651920994923,0.922938911275778
7,0.0,7.0,7.0,147.76118000419407,2564.1017947534424,40.84785816646028,48.07261637314569,58.840705464588105,83.13341367213559,1.6817008727973306,129.09162785551135,3621.992627470523,300.00001850728387,300.0,40.34262956224849,37.9873927976897,599.9999587739113,600.0326118811251,1.6220472269318973,1219.506405728874,1219.5889255083257,1.622195,1.6221136184669898,296.47928431579965,150.6854676340893,1.5720540228935367,940.7425952610587,942.0762858375733,1.571315,1.5712788550328882,293.1155098354544,942.0760995840061,1.5217440232714181,270.0914244038501,1.5216222917344966,293.1155098354544,1.520795,1.5211913970694573,134.18627551997326,275.2069800539006,134.186270591713,1.4237769824188689,331.7542092396024,331.75231079010456,1.4229796372270938,275.2069800539006,331.75231079010456,362.86744871920314,1.422779216812118,1.411445,1.4114656940823016,11.31352272981645,273.4844595749783,1.361375,1.3617378320096747,64.01625718115808,202.6712765058452,64.01625687950356,1.264247313181944,190.0,189.79139336591464,1.4229796372270938,202.6712765058452,189.79139336591527,238.29715384361015,1.2638953469900969,1.251615,1.251619050394111,12.276296595985947,200.83043046395818,1.200915,1.2012242925483902,132.25265014179126,0.01438734124308694,0.008398902611501419,1.7130025086116585,2.012651920994923,0.9227834882756368
8,0.0,8.0,8.0,147.76909975119844,2564.2392262324497,40.850047541926415,48.07519298331829,58.84385922595374,83.13341367213559,1.6817008727973306,129.126516856947,3622.1911724136007,299.98715855399615,300.0,40.33856121224975,37.98555824015186,599.9999587739113,600.0315449249275,1.622070864494584,1219.506405728874,1219.5661111054194,1.622195,1.6221372478836762,296.5211524394105,150.67086945959363,1.5720422588932355,940.8092985247748,942.1644125899827,1.571315,1.5712668319346754,293.15175634286896,942.164291096497,1.5216498279286024,270.27869121229946,1.5215280501173478,293.15175634286896,1.520795,1.5210970700384434,134.22088542440127,275.39735079336697,134.2208802694614,1.4237634019239551,331.66148751827296,331.66004010289333,1.4229651070742364,275.39735079336697,331.66004010289333,362.8153276682099,1.4227644954662937,1.411445,1.4114397718735692,11.324723592724517,273.67164611752577,1.361375,1.3616358185589237,64.02546268430038,202.6813452618826,64.02546230713212,1.2642142795370903,190.0,189.86700103645381,1.4229651070742364,202.6813452618826,189.86700103645393,238.3930738141623,1.2638622603053726,1.251615,1.2515832403831673,12.27901992220537,200.8377503128028,1.200915,1.2011162304071243,132.2541002982179,0.014424355091519323,0.008404382275289895,1.7162897425464596,2.012651920994923,0.9226492197143968
9,0.0,9.0,9.0,147.7701098442727,2564.2567543915,40.850326777234564,48.075521606958525,58.84426146007959,83.13341367213559,1.6817008727973306,129.14513251646605,3622.218345805292,299.9812445401052,300.0,40.33588102954327,37.98536575404037,599.9999587739113,600.0258088215602,1.6220902975523455,1219.506405728874,1219.5427095657622,1.622195,1.6221566761672754,296.5403230124317,150.6634112735481,1.5720407490299253,940.8539514831986,942.2227742885726,1.571315,1.5712651976353837,293.167524692598,942.2226934734554,1.5215835775945594,270.38199769199963,1.5214617756791917,293.167524692598,1.520795,1.521030751052105,134.25468052967025,275.5584387882302,134.25467528641363,1.4237634557362504,331.587118695426,331.58593688815995,1.4229643723307006,275.5584387882302,331.58593688815995,362.76723136703225,1.4227636037021396,1.411445,1.4114297965441396,11.333807158000031,273.83038608533343,1.361375,1.3615611041435096,64.03492558442376,202.67652739600837,64.03492511752145,1.2641988794097418,190.0,189.9200697378819,1.4229643723307006,202.67652739600837,189.92006973788196,238.46374963543036,1.26384687625976,1.251615,1.2515678341991152,12.279042060644896,200.8309306644617,1.200915,1.2010398784014247,132.25563302179162,0.014459207141237891,0.00840809226152229,1.7196775072755972,2.012651920994923,0.9225295884180295
