Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
28,Errors,,180.0,60.90794052,3.53266055,142.777778,123.6,2532.868157,55.8444425,0.001659168,6.27827153,0.038872755,2.11e-05,83.6,1.6722,0.038893839,0.285675,0.323196,0.391128
29,OK,,180.0,60.90794052,3.53266055,143.888889,123.6,2552.579191,56.2790296,0.001876115,6.19878708,0.038294411,2.37e-05,83.6,1.6722,0.038318141,0.285675,0.323196,0.391128
30,OK,,180.0,60.90794052,3.53266055,145.0,123.6,2572.290225,56.7136167,0.001499614,6.65387447,0.040937111,1.89e-05,83.6,1.6722,0.040955976,0.285675,0.323196,0.391128
31,OK,,180.0,66.01708328,3.82899083,135.0,123.6,2394.890899,52.8023328,0.019059736,2.67898082,0.017050567,0.000251399,83.6,1.6722,0.017301966,0.285675,0.323196,0.391128
32,OK,,180.0,66.01708328,3.82899083,136.111111,123.6,2414.601934,53.2369199,0.013261458,3.10811586,0.019704578,0.00017395,83.6,1.6722,0.019878528,0.285675,0.323196,0.391128
33,OK,,180.0,66.01708328,3.82899083,137.222222,123.6,2434.312968,53.671507,0.009769747,3.50196444,0.022129213,0.00012762,83.6,1.6722,0.022256833,0.285675,0.323196,0.391128
34,OK,,180.0,66.01708328,3.82899083,138.333333,123.6,2454.024002,54.1060941,0.006981495,3.95608903,0.024891892,9.06e-05,83.6,1.6722,0.024982529,0.285675,0.323196,0.391128
35,Errors,,180.0,66.01708328,3.82899083,139.444444,123.6,2473.735036,54.5406812,0.019781814,3.3787112,0.020829111,0.000256504,83.6,1.6722,0.021085615,0.285675,0.323196,0.391128
36,OK,,180.0,66.01708328,3.82899083,140.555556,123.6,2493.446088,54.9752683,0.004119367,4.78267762,0.029865291,5.29e-05,83.6,1.6722,0.029918219,0.285675,0.323196,0.391128
37,OK,,180.0,66.01708328,3.82899083,141.666667,123.6,2513.157123,55.4098554,0.003134014,5.2455492,0.032620616,4e-05,83.6,1.6722,0.032660658,0.285675,0.323196,0.391128
38,OK,,180.0,66.01708328,3.82899083,142.777778,123.6,2532.868157,55.8444425,0.002474419,5.68018232,0.035184286,3.14e-05,83.6,1.6722,0.035215733,0.285675,0.323196,0.391128
39,OK,,180.0,66.01708328,3.82899083,143.888889,123.6,2552.579191,56.2790296,0.001963902,6.12922728,0.037811179,2.48e-05,83.6,1.6722,0.037836,0.285675,0.323196,0.391128
40,OK,,180.0,66.01708328,3.82899083,145.0,123.6,2572.290225,56.7136167,0.001578939,6.5754585,0.04039858,1.98e-05,83.6,1.6722,0.040418427,0.285675,0.323196,0.391128
41,OK,,180.0,71.12622586,4.1253211,135.0,123.6,2394.890899,52.8023328,0.021818063,2.55567943,0.016252614,0.000287892,83.6,1.6722,0.016540506,0.285675,0.323196,0.391128
42,OK,,180.0,71.12622586,4.1253211,136.111111,123.6,2414.601934,53.2369199,0.015288276,2.97674898,0.018857346,0.000200639,83.6,1.6722,0.019057985,0.285675,0.323196,0.391128
