Row/Case,Status,Description,T2 ,"AIR2 
","ACID_GAS
 
","AIRFLOW 




KMOL/HR 
","ACID_GAS 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
39,Errors,,140,9.10809474,151,123.6,151,59.0603871,3.38E-06,7.06825861,0.041537743,4.07E-08,0.880321442,1020442.63,0.818543046
40,OK,,140,9.10809474,154,123.6,154,60.2337722,0.000180851,7.96324871,0.046350072,2.15E-06,0.867791286,21550.194,0.802597403
41,OK,,140,9.10809474,157,123.6,157,61.4071574,0.000821717,9.17015972,0.052804334,9.64E-06,0.850652891,5480.18983,0.787261146
42,OK,,140,9.10809474,160,123.6,160,62.5805426,7.21E-05,10.4129035,0.059298053,8.33E-07,0.833606819,71202.6101,0.7725
43,OK,,140,9.59714211,121,123.6,121,47.3265353,2.81562517,0.383508188,0.002440428,0.037037828,0.932402967,0.06589015,1.0214876
44,OK,,140,9.59714211,124,123.6,124,48.4999205,2.29187573,0.500423334,0.003166636,0.030038539,0.942426729,0.105419122,0.996774194
45,OK,,140,9.59714211,127,123.6,127,49.6733057,1.78792686,0.659307521,0.004147266,0.023335863,0.95073341,0.177720685,0.973228346
46,OK,,140,9.59714211,130,123.6,130,50.8466908,1.31040402,0.878753736,0.0054926,0.017020783,0.956945915,0.322699611,0.950769231
47,OK,,140,9.59714211,133,123.6,133,52.020076,0.880740614,1.17948517,0.007322014,0.011372804,0.960395564,0.643817784,0.929323308
48,OK,,140,9.59714211,136,123.6,136,53.1934612,0.506168464,1.60252699,0.009874635,0.006489952,0.960357995,1.52152668,0.908823529
49,OK,,140,9.59714211,139,123.6,139,54.3668464,0.212470206,2.2031387,0.013465294,0.002700506,0.955568346,4.98621184,0.889208633
50,OK,,140,9.59714211,142,123.6,142,55.5402315,0.039862244,3.04295384,0.018430084,0.000501045,0.944494,36.7832683,0.870422535
51,OK,,140,9.59714211,145,123.6,145,56.7136167,0.001664127,4.14969402,0.02488182,2.06E-05,0.926801386,1205.92035,0.852413793
52,OK,,140,9.59714211,148,123.6,148,57.8870019,0.000683298,5.34018198,0.031688051,8.35E-06,0.907736364,3794.24726,0.835135135
