Row/Case,Status,Description,"T2     
","AIR2    
 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
",ACIDGAS ,"H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
38,OK,,140,9.10809474,148,123.6,148,57.8870019,0.000655109,5.55987164,0.033057257,8.02E-06,0.903941704,4123.89685,0.835135135
39,Errors,,140,9.10809474,151,123.6,151,59.0603871,7.47E-04,6.30726404,0.036601058,9.02E-06,0.893193875,4057.27081,0.818543046
40,OK,,140,9.10809474,154,123.6,154,60.2337722,0.00018183,7.95475464,0.04630184,2.16E-06,0.867932288,21411.6586,0.802597403
41,OK,,140,9.10809474,157,123.6,157,61.4071574,0.000112088,9.1796207,0.052857179,1.31E-06,0.850510377,40215.4474,0.787261146
42,OK,,140,9.10809474,160,123.6,160,62.5805426,7.30E-05,10.3892193,0.059179609,8.45E-07,0.833985263,70062.1534,0.7725
43,OK,,140,9.59714211,121,123.6,121,47.3265353,2.81499226,0.383602911,0.002441035,0.037029933,0.932414339,0.06592058,1.0214876
44,OK,,140,9.59714211,124,123.6,124,48.4999205,2.29501143,0.499752966,0.003162374,0.030077932,0.942375897,0.105139328,0.996774194
45,OK,,140,9.59714211,127,123.6,127,49.6733057,1.79088915,0.65837772,0.004141397,0.023373293,0.950692493,0.17718501,0.973228346
46,OK,,140,9.59714211,130,123.6,130,50.8466908,1.31681495,0.875691515,0.00547343,0.017102168,0.956880056,0.320043076,0.950769231
47,OK,,140,9.59714211,133,123.6,133,52.020076,0.880616312,1.17957991,0.007322602,0.011371223,0.960396132,0.643959,0.929323308
48,OK,,140,9.59714211,136,123.6,136,53.1934612,0.505531398,1.60336825,0.009879807,0.006481849,0.960354156,1.5242266,0.908823529
49,OK,,140,9.59714211,139,123.6,139,54.3668464,0.212788631,2.20227665,0.01346005,0.002704541,0.955578345,4.9768336,0.889208633
50,OK,,140,9.59714211,142,123.6,142,55.5402315,0.040766516,3.03505968,0.018382676,0.00051241,0.944619853,35.8749282,0.870422535
51,OK,,140,9.59714211,145,123.6,145,56.7136167,0.001669497,4.14484195,0.024853064,2.07E-05,0.926886845,1200.64521,0.852413793
52,OK,,140,9.59714211,148,123.6,148,57.8870019,0.000665484,5.34669574,0.031723162,8.13E-06,0.907624146,3901.03019,0.835135135
