HEATER2_output_T_SP,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
140,8.61904737,157.947368,123.6,157.947368,61.7777001,8.73E-05,9.75805583,0.056101545,1.02E-06,83.6,1.672195,0.056102565
140,8.61904737,160,123.6,160,62.5805426,6.44E-05,10.6258951,0.06062719,7.45E-07,83.6,1.672195,0.060627935
140,9.10809474,121,123.6,121,47.3265353,2.71545447,0.394561678,0.002518566,0.035841132,83.6,1.672195,0.038359698
140,9.10809474,123.052632,123.6,123.052632,48.1293778,2.35799131,0.473752791,0.003012483,0.031044887,83.6,1.672195,0.034057369
140,9.10809474,125.105263,123.6,125.105263,48.9322203,2.0116887,0.570752735,0.003614801,0.026411777,83.6,1.672195,0.030026578
140,9.10809474,127.157895,123.6,127.157895,49.7350628,1.66745244,0.693941913,0.00437668,0.021828269,83.6,1.672195,0.02620495
140,9.10809474,129.210526,123.6,129.210526,50.5379053,1.34771899,0.843815467,0.005298648,0.017582009,83.6,1.672195,0.022880657
140,9.10809474,131.263158,123.6,131.263158,51.3407478,1.04061271,1.03465053,0.006467162,0.013524532,83.6,1.672195,0.019991694
140,9.10809474,133.315789,123.6,133.315789,52.1435902,0.762399806,1.27133078,0.007908078,0.0098654,83.6,1.672195,0.017773478
140,9.10809474,135.368421,123.6,135.368421,52.9464327,0.510260763,1.57423423,0.009741986,0.006570133,83.6,1.672195,0.016312119
140,9.10809474,137.421053,123.6,137.421053,53.7492752,0.298244491,1.95760384,0.012048127,0.003818093,83.6,1.672195,0.01586622
140,9.10809474,139.473684,123.6,139.473684,54.5521177,0.136437885,2.43788364,0.014916074,0.00173487,83.6,1.672195,0.016650944
140,9.10809474,141.526316,123.6,141.526316,55.3549602,0.037019864,3.03852238,0.01847346,0.000466969,83.6,1.672195,0.01894043
140,9.10809474,143.578947,123.6,143.578947,56.1578027,0.002430673,3.7917392,0.022895244,3.04E-05,83.6,1.672195,0.022925623
140,9.10809474,145.631579,123.6,145.631579,56.9606452,0.001398869,4.6081693,0.027627429,1.73E-05,83.6,1.672195,0.027644741
140,9.10809474,147.684211,123.6,147.684211,57.7634877,0.000584143,5.42035848,0.032264797,7.16E-06,83.6,1.672195,0.032271955
140,9.10809474,149.736842,123.6,149.736842,58.5663301,0.000394122,6.25322181,0.036952763,4.78E-06,83.6,1.672195,0.036957546
140,9.10809474,151.789474,123.6,151.789474,59.3691726,4.85E-05,7.05417512,0.04138662,5.82E-07,83.6,1.672195,0.041387202
140,9.10809474,153.842105,123.6,153.842105,60.1720151,0.0001859,7.89804965,0.045996764,2.21E-06,83.6,1.672195,0.045998976
140,9.10809474,155.894737,123.6,155.894737,60.9748576,0.000252784,8.72382143,0.050433826,2.98E-06,83.6,1.672195,0.050436805
140,9.10809474,157.947368,123.6,157.947368,61.7777001,9.83E-05,9.54449533,0.054774294,1.15E-06,83.6,1.672195,0.054775441
140,9.10809474,160,123.6,160,62.5805426,7.30E-05,10.3787086,0.059121809,8.44E-07,83.6,1.672195,0.059122653
140,9.59714211,121,123.6,121,47.3265353,2.81631197,0.383405427,0.00243977,0.037046398,83.6,1.672195,0.039486168
140,9.59714211,123.052632,123.6,123.052632,48.1293778,2.45512444,0.4596963,0.002914175,0.032217066,83.6,1.672195,0.035131241
140,9.59714211,125.105263,123.6,125.105263,48.9322203,2.10594133,0.552688413,0.003489836,0.027559851,83.6,1.672195,0.031049687
140,9.59714211,127.157895,123.6,127.157895,49.7350628,1.76200042,0.669167504,0.004207924,0.022992057,83.6,1.672195,0.027199981
140,9.59714211,129.210526,123.6,129.210526,50.5379053,1.43453755,0.813090571,0.005090902,0.018657744,83.6,1.672195,0.023748646
140,9.59714211,131.263158,123.6,131.263158,51.3407478,1.12400878,0.993217967,0.006190571,0.014565369,83.6,1.672195,0.02075594
140,9.59714211,133.315789,123.6,133.315789,52.1435902,0.837252045,1.21837359,0.00755774,0.010804077,83.6,1.672195,0.018361817
140,9.59714211,135.368421,123.6,135.368421,52.9464327,0.581953613,1.49867655,0.009249673,0.007473345,83.6,1.672195,0.016723017
140,9.59714211,137.421053,123.6,137.421053,53.7492752,0.354620454,1.86217054,0.011431448,0.004529172,83.6,1.672195,0.01596062
140,9.59714211,139.473684,123.6,139.473684,54.5521177,0.178033768,2.31179701,0.014110299,0.002259186,83.6,1.672195,0.016369485
140,9.59714211,141.526316,123.6,141.526316,55.3549602,0.057553156,2.88667521,0.017510078,0.000724819,83.6,1.672195,0.018234897
140,9.59714211,143.578947,123.6,143.578947,56.1578027,0.006073698,3.59310547,0.021649797,7.58E-05,83.6,1.672195,0.021725612
140,9.59714211,145.631579,123.6,145.631579,56.9606452,0.001091859,4.40496399,0.026354431,1.35E-05,83.6,1.672195,0.026367928
140,9.59714211,147.684211,123.6,147.684211,57.7634877,4.82E-05,5.21888827,0.031002112,5.90E-07,83.6,1.672195,0.031002701
140,9.59714211,149.736842,123.6,149.736842,58.5663301,0,6.03408883,0.035588081,0,83.6,1.672195,0.035588081
140,9.59714211,151.789474,123.6,151.789474,59.3691726,0.000305277,6.86451439,0.040192758,3.66E-06,83.6,1.672195,0.040196423
140,9.59714211,153.842105,123.6,153.842105,60.1720151,0.000212098,7.68379595,0.044664092,2.52E-06,83.6,1.672195,0.044666613
140,9.59714211,155.894737,123.6,155.894737,60.9748576,0.000151441,8.5064656,0.049086371,1.78E-06,83.6,1.672195,0.049088154
140,9.59714211,157.947368,123.6,157.947368,61.7777001,0.000110015,9.34364877,0.053521414,1.28E-06,83.6,1.672195,0.053522697
140,9.59714211,160,123.6,160,62.5805426,7.93E-05,10.2389514,0.058206801,9.16E-07,83.6,1.672195,0.058207717
140,10.0861895,121,123.6,121,47.3265353,2.9143978,0.373297514,0.00236811,0.038208896,83.6,1.672195,0.040577006
140,10.0861895,123.052632,123.6,123.052632,48.1293778,2.54618073,0.447602125,0.002828885,0.033305511,83.6,1.672195,0.036134396
140,10.0861895,125.105263,123.6,125.105263,48.9322203,2.20103393,0.535585537,0.003371667,0.028711091,83.6,1.672195,0.032082757
140,10.0861895,127.157895,123.6,127.157895,49.7350628,1.85491824,0.646670445,0.004054411,0.024127729,83.6,1.672195,0.02818214
140,10.0861895,129.210526,123.6,129.210526,50.5379053,1.52435797,0.783486241,0.004891278,0.019764689,83.6,1.672195,0.024655967
140,10.0861895,131.263158,123.6,131.263158,51.3407478,1.21187667,0.952887056,0.005922284,0.015656517,83.6,1.672195,0.021578801
140,10.0861895,133.315789,123.6,133.315789,52.1435902,0.920393791,1.1643357,0.007202509,0.011842477,83.6,1.672195,0.019044987
140,10.0861895,135.368421,123.6,135.368421,52.9464327,0.647829285,1.43691608,0.008844622,0.008297934,83.6,1.672195,0.017142556
140,10.0861895,137.421053,123.6,137.421053,53.7492752,0.417134708,1.76948532,0.010834495,0.005314529,83.6,1.672195,0.016149024
140,10.0861895,139.473684,123.6,139.473684,54.5521177,0.22249759,2.19968545,0.013392884,0.002817497,83.6,1.672195,0.016210381
140,10.0861895,141.526316,123.6,141.526316,55.3549602,0.086991418,2.72978091,0.016520225,0.001093609,83.6,1.672195,0.017613834
140,10.0861895,143.578947,123.6,143.578947,56.1578027,0.014585681,3.40729822,0.02048945,0.000181861,83.6,1.672195,0.020671311
140,10.0861895,145.631579,123.6,145.631579,56.9606452,0.001689024,4.17295592,0.024916534,2.09E-05,83.6,1.672195,0.024937389
140,10.0861895,147.684211,123.6,147.684211,57.7634877,0.000880637,4.98782084,0.029570109,1.08E-05,83.6,1.672195,0.029580876
