Row/Case,Status,Description,"VARY   1
HEATER2 
PARAM   
TEMP    

C       
","VARY   2
AIR2    
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
","ACIDGAS 




KMOL/HR 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","ACIDTEMP




C       
","ACIDPRES




BAR     
"
41,OK,,142.564103,8.13,170,123.6,170,66.4918265,3.37E-05,14.8775525,0.08198229,3.73E-07,83.6,1.6722
42,OK,,142.564103,8.36825385,170,123.6,170,66.4918265,2.29E-05,14.7581336,0.081266267,2.53E-07,83.6,1.6722
43,OK,,142.564103,8.60650769,170,123.6,170,66.4918265,2.38E-05,14.6718707,0.080710296,2.63E-07,83.6,1.6722
44,OK,,142.564103,8.84476154,170,123.6,170,66.4918265,2.51E-05,14.550301,0.079998709,2.77E-07,83.6,1.6722
45,OK,,142.564103,9.08301538,170,123.6,170,66.4918265,2.61E-05,14.4613129,0.079442143,2.89E-07,83.6,1.6722
46,OK,,142.564103,9.32126923,170,123.6,170,66.4918265,2.75E-05,14.3469204,0.078754062,3.04E-07,83.6,1.6722
47,OK,,142.564103,9.55952308,170,123.6,170,66.4918265,2.90E-05,14.2273727,0.078041784,3.20E-07,83.6,1.6722
48,OK,,142.564103,9.79777692,170,123.6,170,66.4918265,2.99E-05,14.1644211,0.077609395,3.29E-07,83.6,1.6722
49,OK,,142.564103,10.0360308,170,123.6,170,66.4918265,3.21E-05,14.0070103,0.0767123,3.54E-07,83.6,1.6722
50,OK,,142.564103,10.2742846,170,123.6,170,66.4918265,3.22E-05,14.0004691,0.076565994,3.54E-07,83.6,1.6722
51,OK,,142.564103,10.5125385,170,123.6,170,66.4918265,3.49E-05,13.819588,0.075555195,3.84E-07,83.6,1.6722
52,OK,,142.564103,10.7507923,170,123.6,170,66.4918265,3.55E-05,13.7851722,0.075261775,3.90E-07,83.6,1.6722
53,OK,,142.564103,10.9890462,170,123.6,170,66.4918265,3.47E-05,13.628272,0.074389248,3.82E-07,83.6,1.6722
54,OK,,142.564103,11.2273,170,123.6,170,66.4918265,4.05E-05,13.4941949,0.073607717,4.46E-07,83.6,1.6722
55,OK,,142.564103,11.4655538,170,123.6,170,66.4918265,4.24E-05,13.3952462,0.073007896,4.67E-07,83.6,1.6722
56,OK,,142.564103,11.7038077,170,123.6,170,66.4918265,4.46E-05,13.2886624,0.072369039,4.90E-07,83.6,1.6722
57,OK,,142.564103,11.9420615,170,123.6,170,66.4918265,4.70E-05,13.1744633,0.071691851,5.16E-07,83.6,1.6722
58,OK,,142.564103,12.1803154,170,123.6,170,66.4918265,4.96E-05,13.0560002,0.07099343,5.45E-07,83.6,1.6722
59,OK,,142.564103,12.4185692,170,123.6,170,66.4918265,5.18E-05,12.9641352,0.070431786,5.68E-07,83.6,1.6722
60,OK,,142.564103,12.6568231,170,123.6,170,66.4918265,5.45E-05,12.857886,0.069800294,5.98E-07,83.6,1.6722
61,OK,,142.564103,12.8950769,170,123.6,170,66.4918265,0,12.7732712,0.069276764,0,83.6,1.6722
62,OK,,142.564103,13.1333308,170,123.6,170,66.4918265,5.91E-05,12.6845207,0.068740227,6.48E-07,83.6,1.6722
63,OK,,142.564103,13.3715846,170,123.6,170,66.4918265,6.19E-05,12.5864241,0.068150169,6.78E-07,83.6,1.6722
64,OK,,142.564103,13.6098385,170,123.6,170,66.4918265,6.64E-05,12.4316337,0.067271161,7.27E-07,83.6,1.6722
65,OK,,142.564103,13.8480923,170,123.6,170,66.4918265,6.95E-05,12.3334107,0.066683849,7.61E-07,83.6,1.6722
66,OK,,142.564103,14.0863462,170,123.6,170,66.4918265,7.19E-05,12.2632934,0.066230307,7.86E-07,83.6,1.6722
67,OK,,142.564103,14.3246,170,123.6,170,66.4918265,7.81E-05,12.0872953,0.065253104,8.55E-07,83.6,1.6722
68,OK,,142.564103,14.5628538,170,123.6,170,66.4918265,8.08E-05,12.0173717,0.06481667,8.84E-07,83.6,1.6722
69,OK,,142.564103,14.8011077,170,123.6,170,66.4918265,8.45E-05,11.9235301,0.064255841,9.24E-07,83.6,1.6722
70,OK,,142.564103,15.0393615,170,123.6,170,66.4918265,8.91E-05,11.8134597,0.063611979,9.73E-07,83.6,1.6722
71,OK,,142.564103,15.2776154,170,123.6,170,66.4918265,9.37E-05,11.7096115,0.063000658,1.02E-06,83.6,1.6722
72,OK,,142.564103,15.5158692,170,123.6,170,66.4918265,0.000100074,11.5963894,0.062334112,1.09E-06,83.6,1.6722
73,OK,,142.564103,15.7541231,170,123.6,170,66.4918265,0.000104202,11.5135452,0.061833748,1.14E-06,83.6,1.6722
74,OK,,142.564103,15.9923769,170,123.6,170,66.4918265,0.000110334,11.3952015,0.061150432,1.20E-06,83.6,1.6722
75,OK,,142.564103,16.2306308,170,123.6,170,66.4918265,0.000186515,11.28128,0.060491348,2.03E-06,83.6,1.6722
76,OK,,142.564103,16.4688846,170,123.6,170,66.4918265,0.000121205,11.2023511,0.060013264,1.32E-06,83.6,1.6722
77,OK,,142.564103,16.7071385,170,123.6,170,66.4918265,0.000130174,11.0589294,0.059202692,1.42E-06,83.6,1.6722
78,OK,,142.564103,16.9453923,170,123.6,170,66.4918265,0,10.9664398,0.058657951,0,83.6,1.6722
79,OK,,142.564103,17.1836462,170,123.6,170,66.4918265,9.50E-05,10.9318696,0.058379843,1.03E-06,83.6,1.6722
80,OK,,142.564103,17.4219,170,123.6,170,66.4918265,0,10.7670352,0.057493878,0,83.6,1.6722
81,OK,,145.128205,8.13,170,123.6,170,66.4918265,2.51E-05,14.8775354,0.0819822,2.78E-07,83.6,1.6722
82,OK,,145.128205,8.36825385,170,123.6,170,66.4918265,2.64E-05,14.7581407,0.081266304,2.92E-07,83.6,1.6722
83,OK,,145.128205,8.60650769,170,123.6,170,66.4918265,2.75E-05,14.671878,0.080710335,3.03E-07,83.6,1.6722
84,OK,,145.128205,8.84476154,170,123.6,170,66.4918265,2.90E-05,14.5503087,0.079998749,3.20E-07,83.6,1.6722
85,OK,,145.128205,9.08301538,170,123.6,170,66.4918265,0,14.4607433,0.07943903,0,83.6,1.6722
86,OK,,145.128205,9.32126923,170,123.6,170,66.4918265,3.17E-05,14.3469288,0.078754106,3.50E-07,83.6,1.6722
87,OK,,145.128205,9.55952308,170,123.6,170,66.4918265,3.35E-05,14.2273816,0.078041831,3.69E-07,83.6,1.6722
88,OK,,145.128205,9.79777692,170,123.6,170,66.4918265,3.44E-05,14.1644303,0.077609443,3.80E-07,83.6,1.6722
